Filename,Class
0f886d51-8576-4208-a850-98aefb696241.jpg,Small bowel_terminal ileum
142df188-9742-4bce-a38a-792d312c65bf.jpg,Small bowel_terminal ileum
1f58cb41-82eb-4760-a8ba-934258f9c7d6.jpg,Small bowel_terminal ileum
1e636a66-9fda-48ce-a871-f88e9e41c4f1.jpg,Small bowel_terminal ileum
15187331-c78b-4347-887a-42d337ae1243.jpg,Small bowel_terminal ileum
131db18f-e001-454b-bcb0-123977b5d45e.jpg,Small bowel_terminal ileum
0d87e1ea-fa33-4cbf-a23a-7be590fbab10.jpg,Small bowel_terminal ileum
42529937-06a4-430d-bcc1-d801fd111bff.jpg,Small bowel_terminal ileum
0e7fe06e-9691-4020-9d18-3c1c861f57a9.jpg,Small bowel_terminal ileum
2ce6bb9b-cde6-4168-b494-9bb2c32a6ebf.jpg,Small bowel_terminal ileum
01e01255-7976-4960-885e-c21537a4be78.jpg,Small bowel_terminal ileum
0fb44054-5454-419c-8f11-1b9e41525620.jpg,Small bowel_terminal ileum
0da671cf-ae1e-4446-8d6a-be976d2b46ed.jpg,Small bowel_terminal ileum
1946199a-4028-4e04-85ad-95f0c880c89d.jpg,Small bowel_terminal ileum
0cebc63f-f7c4-41a0-8d07-bb4dc7a0c9a4.jpg,Small bowel_terminal ileum
3598864b-4a47-40c0-b326-860b57f5324c.jpg,Small bowel_terminal ileum
83e96932-3d1b-4d29-bf33-85807e1bf231.jpg,Small bowel_terminal ileum
032512bd-6225-4640-841e-e1abfbd02acd.jpg,Small bowel_terminal ileum
04f41725-6f51-4cb4-b752-596cb831fb7c.jpg,Small bowel_terminal ileum
1c0cb412-ac75-45d9-8c09-a6fd5891778d.jpg,Small bowel_terminal ileum
0b1522e4-b6a0-423a-8850-51dc5a60d34c.jpg,Small bowel_terminal ileum
0cee5fc1-33a5-4cc0-98a6-ce4eb8b2f233.jpg,Small bowel_terminal ileum
0e73c105-1dad-473c-8154-23eeab792f5b.jpg,Small bowel_terminal ileum
90854828-75d4-4e17-ab7a-0cf84d39957b.jpg,Small bowel_terminal ileum
15fbc1ba-5c55-41d1-903b-bb23bc72102e.jpg,Small bowel_terminal ileum
0219d342-1af6-4cd8-8507-512c6c46fdf1.jpg,Small bowel_terminal ileum
07171ebe-1442-44e3-88c3-b976f55bc272.jpg,Small bowel_terminal ileum
01bbb4d9-d724-410f-b9db-61553ffa1e00.jpg,Small bowel_terminal ileum
1a77f543-44e5-46a0-b43e-789f56a08cda.jpg,Small bowel_terminal ileum
18a3d645-6ec5-4f42-9cf3-1836edd614d5.jpg,Small bowel_terminal ileum
0c4b8996-9031-4887-a822-7c4564bdc9a5.jpg,Small bowel_terminal ileum
